Alabama
date         4/28  4/29  4/30  5/01  5/02  5/03  5/04
Audubon            1     1     1     1     2     2     5
Benton            27    30    30    31    31    32    33
Black Hawk       844   941  1082  1140  1195  1255  1306
Boone              7     8    10    12    16    23    23
Bremer            45    48    50    51    51    52    53
Buchanan          12    14    16    17    18    19    20
Buena Vista        4     4     4     4     6     6     8
Butler             8     8     8     9     9     9     9
Calhoun            0     0     0     0     1     1     1
Carroll            1     1     1     2     2     3     5
Cass               1     1     1     1     1     1     1
Cedar             28    29    29    29    30    31    31
Cerro Gordo       14    14    14    14    14    14    14
Cherokee           2     2     2     2     2     3     4
Chickasaw          4     4     5     5     5     5     5
Clarke             2     2     2     2     2     2     3
Clay               3     3     3     4     4     4     5
Clayton           13    12    12    14    17    18    15
Clinton           48    48    48    48    49    50    50
Crawford          14    19    21    21    24    31    51
Dallas           179   198   258   318   408   515   537
Davis              0     0     1     1     1     1     1
Decatur            0     0     0     0     1     1     1
Delaware           4     4     4     8     8    10    10
Des Moines        17    17    17    16    16    16    18
Dickinson          5     6     6     6     6     6     6
Dubuque           87    88    97   102   109   125   136
Emmet              0     0     0     0     0     0     0
Fayette           16    17    20    20    21    22    22
Floyd              0     0     0     0     1     1     1
Franklin           2     2     2     2     3     3     3
Fremont            0     0     0     0     0     0     0
Greene             2     2     2     5     7    10    11
Grundy             9    11    11    11    11    15    15
Guthrie            6     6    10    12    13    19    22
Hamilton           7     7     7     7     7     7     7
Hancock            3     3     3     3     3     3     3
Hardin             7     7     7     8     9     9     9
Harrison          15    15    16    16    16    16    16
Henry             32    32    32    32    32    32    33
Howard             6     7    10    10    10    10    10
Humboldt           4     4     4     4     4     4     4
Ida                0     0     0     0     0     0     0
Iowa              18    19    19    19    20    20    21
Jackson            5     5     5     5     5     5     6
Jasper            91   109   130   130   155   175   193
Jefferson          6     6     6     6     6     6     6
Johnson          437   448   453   461   475   487   498
Jones             19    19    20    21    22    24    24
Keokuk             2     2     2     2     3     3     3
Kossuth            1     1     1     2     2     2     2
Lee                5     7     8     8     9    12    13
Linn             613   632   652   669   673   705   731
Louisa           267   269   269   269   274   277   277
Lucas              0     0     0     0     0     0     0
Lyon               9    11    11    13    13    13    14
Madison            3     4     5     5     8     8     9
Mahaska            9     9     9    10    14    16    16
Marion             7     8     8     8    10    12    12
Marshall         408   434   459   467   500   545   603
Mills              3     2     2     2     2     3     3
Mitchell           2     2     2     2     3     3     3
Monona             7     7     7     7     9    10    10
Monroe             0     0     0     0     0     0     1
Montgomery         1     1     1     1     1     1     1
Muscatine        311   319   329   336   346   360   372
O'Brien            6     7     7     8     9    10    11
Osceola            8     8     8     9    10    10    13
Page               5     5     5     6     7     8     8
Palo Alto          0     0     0     0     0     0     0
Plymouth          10    12    12    12    14    17    23
Pocahontas         1     1     1     1     3     3     3
Polk             756   813   905   985  1176  1350  1476
Pottawattamie     27    28    30    33    37    41    44
Poweshiek         50    50    55    56    57    61    68
Ringgold           0     0     0     0     0     0     0
Sac                0     0     0     0     1     1     1
Scott            216   218   222   226   230   236   241
Shelby             9     9     9     9     9     9    12
Sioux              7     8     8     9    11    11    17
Story             25    26    27    27    31    32    33
Tama             259   263   264   266   270   278   286
Taylor             1     1     1     1     1     1     1
Unassigned         0     0     0     0     0     0     0
Unassigned         7    13    20    24    63    95   124
Union              1     1     1     1     1     1     1
Van Buren          8     8     8     8     8     8     8
Wapello           10    10    10    10    17    27    61
Warren            20    20    21    22    25    25    26
Washington       136   138   139   141   144   145   148
Wayne              0     0     0     0     1     1     1
Webster            4     4     5     5     5     6     6
Winnebago          2     2     2     2     2     2     2
Winneshiek        24    15    15    15    17    17    18
Woodbury         495   695   728   742   922  1074  1112
Worth              1     1     1     1     1     1     1
Wright             2     2     4     3     3     3     3
totals          5868  6376  6843  7145  7884  8643  9175

Kansas
date           4/28  4/29  4/30  5/01  5/02  5/03  5/04
Allen             0     0     0     0     0     0     0
Anderson          0     0     0     0     0     0     0
Atchison          9     9     9     9    10    10    11
Barber            1     1     1     1     1     1     1
Barton            9     9     9     9     9     9     9
Bourbon           6     6     6     6     6     6     6
Brown             0     0     0     0     0     0     1
Butler           14    15    16    16    14    14    14
Chase             1     3     3     3     3     3     3
Chautauqua        3     4     4     4     4     4     4
Cherokee          7     7     8     8     8     8     8
Cheyenne          0     1     2     2     2     2     2
Clark             1     1     1     1     1     1     1
Clay              4     5     4     4     4     4     4
Cloud             3     3     4     4     4     4     4
Coffey           48    48    48    48    48    48    49
Comanche          0     0     0     0     0     0     0
Cowley            3     3     3     3     3     3     3
Crawford          7     7     7     8     8     8     8
Decatur           0     0     0     0     0     0     0
Dickinson         2     2     2     2     2     2     2
Doniphan          3     3     3     3     3     4     4
Douglas          49    49    49    50    51    51    51
Edwards           2     2     3     3     4     4     4
Elk               0     0     1     1     1     0     0
Ellis             8     8     8     8     8     8     8
Ellsworth         0     0     0     0     0     0     0
Finney          238   270   270   404   503   550   550
Ford            516   544   600   675   702   770   815
Franklin         12    13    13    14    14    16    17
Geary            10    11    11    11    11    11    11
Gove              1     1     1     1     1     1     1
Graham            0     0     0     0     0     0     0
Grant             1     1     2     4     5     5     7
Gray              3     4     4     4     5     5     5
Greeley           0     0     0     0     0     0     0
Greenwood         3     3     3     3     3     3     3
Hamilton          2     2     2     2     2     4     4
Harper            0     0     0     1     1     1     1
Harvey            6     6     6     7     7     8     8
Haskell           7     7     7     7     7     7     7
Hodgeman          0     0     0     0     0     0     0
Jackson           2     2     2     2     2     2     2
Jefferson         8     8     9     9     9    10    10
Jewell            4     4     4     4     4     4     4
Johnson         440   446   454   464   471   486   498
Kearny           12    14    14    16    19    19    19
Kingman           0     0     0     0     0     0     0
Kiowa             1     1     1     1     1     1     2
Labette          21    21    22    22    22    22    22
Lane              0     0     0     0     0     0     0
Leavenworth     184   187   197   356   372   386   498
Lincoln           0     0     0     0     0     0     0
Linn              6     6     6     6     6     6     6
Logan             0     0     0     0     0     0     0
Lyon            177   193   201   218   230   245   248
Marion            5     5     5     5     5     5     5
Marshall          0     0     0     0     0     0     0
McPherson        20    20    20    22    22    22    23
Meade             2     2     3     5     6    10    10
Miami             5     5     5     5     5     5     5
Mitchell          2     2     3     3     3     3     3
Montgomery       16    16    16    17    17    17    18
Morris            3     3     3     3     3     3     3
Morton            2     3     3     3     3     3     3
Nemaha            1     1     1     1     1     1     1
Neosho            2     2     3     2     2     2     2
Ness              0     0     0     0     0     0     0
Norton            0     0     0     0     1     1     2
Osage             5     5     5     5     5     5     5
Osborne           2     2     2     2     2     2     2
Ottawa            3     3     4     4     4     4     4
Pawnee            0     0     0     0     0     0     0
Phillips          1     1     1     1     1     1     1
Pottawatomie      9     9    10    13    13    13    15
Pratt             1     1     1     1     1     1     1
Rawlins           0     0     0     0     0     0     0
Reno             27    27    35    36    39    40    41
Republic          4     4     4     4     4     4     4
Rice              3     3     3     3     3     3     3
Riley            45    47    47    49    51    52    54
Rooks             6     6     6     6     6     6     6
Rush              0     0     0     0     0     0     0
Russell           0     0     0     0     0     0     0
Saline           20    20    21    21    21    21    21
Scott             1     0     0     0     1     1     1
Sedgwick        339   354   366   402   408   418   426
Seward          393   444   472   527   528   539   547
Shawnee         106   108   112   117   121   126   127
Sheridan          2     2     2     2     2     2     2
Sherman           3     3     3     4     4     5     5
Smith             2     2     2     2     2     2     2
Stafford          1     1     1     1     1     1     1
Stanton           4     4     6     6     6     6     6
Stevens           7     8     8     9     9    10    11
Sumner            3     3     3     3     3     3     4
Thomas            0     0     0     0     0     0     0
Trego             0     0     0     0     0     0     0
Unassigned        0     0     0     0     0     0     0
Wabaunsee        15    15    18    21    22    23    24
Wallace           0     0     0     0     0     0     0
Washington        0     0     0     1     1     0     0
Wichita           0     0     0     0     0     0     0
Wilson            1     1     1     1     1     1     1
Woodson           5     5     5     5     6     6     6
Wyandotte       573   585   619   677   710   762   826
totals         3473  3652  3839  4413  4634  4885  5156

Kentucky
date           4/28  4/29  4/30  5/01  5/02  5/03  5/04
Adair            77    79    79    81    81    81    81
Allen             8     9    12    13    14    14    14
Anderson          8     8     8     8     8     8     9
Ballard           7     9     9     9    10    10    10
Barren           15    15    16    17    17    17    18
Bath              4     4     4     4     4     4     4
Bell              0     0     0     0     0     0     0
Boone           116   125   125   138   144   144   170
Bourbon           7     7     7     8     8     8     8
Boyd             33    33    33    31    31    31    31
Boyle            17    17    17    17    17    17    17
Bracken           7     7     7     7     9     9     9
Breathitt         2     2     2     2     2     2     2
Breckinridge      8     8     9     9     9     9     9
Bullitt          50    51    51    53    55    55    56
Butler          103   113   114   116   141   141   143
Caldwell         13    13    13    13    13    12    12
Calloway         31    31    31    34    34    34    35
Campbell         81    85    86    89    92    92    95
Carlisle          2     2     2     2     2     2     2
Carroll           2     2     2     2     2     2     2
Carter            4     5     5     5     5     5     6
Casey             1     1     1     1     1     1     1
Christian        86    86    86    86    88    88    90
Clark            19    19    20    21    21    21    20
Clay              1     1     1     1     1     1     1
Clinton           2     3     3     3     3     3     3
Crittenden        3     4     4     4     4     4     4
Cumberland        5     5     5     5     5     5     5
Daviess         157   169   182   188   194   194   217
Edmonson         17    17    19    26    26    26    26
Elliott           0     0     0     0     0     0     0
Estill            0     0     0     0     0     0     0
Fayette         239   242   246   248   254   254   287
Fleming           2     2     2     2     2     2     2
Floyd            10    12    13    13    14    14    12
Franklin         16    16    16    16    16    16    17
Fulton            1     1     1     2     2     2     2
Gallatin          1     1     1     1     1     1     1
Garrard           2     2     2     2     2     2     2
Grant            18    20    20    21    21    21    25
Graves          119   122   124   131   137   137   138
Grayson          60    60    62    65    69    69    79
Green             1     1     1     1     1     1     1
Greenup          11    11    11    11    11    11    12
Hancock           6     6     6     6     6     6     6
Hardin           37    37    37    40    44    44    48
Harlan            0     0     0     0     0     0     0
Harrison         17    17    17    17    17    17    17
Hart              2     2     3     3     4     4     4
Henderson        49    58    58    58    62    62    65
Henry             6     6     6     6     6     6     8
Hickman           1     1     1     1     1     1     1
Hopkins         187   191   192   196   201   201   206
Jackson          60    59    59    59    59    59    59
Jefferson      1140  1224  1281  1307  1352  1352  1403
Jessamine        34    37    40    41    41    40    40
Johnson           2     3     3     3     3     3     3
Kenton          230   247   248   276   286   286   308
Knott             3     3     3     4     4     4     4
Knox              6     6     6     6     6     6     6
Larue             5     5     5     5     5     5     5
Laurel           14    14    15    17    17    17    17
Lawrence          1     1     1     1     1     1     1
Lee               0     0     0     0     0     0     0
Leslie            2     2     2     4     4     4     4
Letcher           2     2     2     2     2     2     3
Lewis             3     3     3     3     3     3     3
Lincoln           4     5     5     5     5     5     5
Livingston        4     4     4     4     5     5     6
Logan             8     8     8    10    11    11    13
Lyon             14    13    13    13    13    13    13
Madison          29    29    29    28    29    29    29
Magoffin          0     0     0     0     0     0     0
Marion           16    16    16    16    17    17    17
Marshall         33    34    34    34    34    34    34
Martin            3     3     3     3     3     3     3
Mason             6     6     6     6     6     6     6
McCracken        44    48    48    55    58    58    59
McCreary         11    11    11    11    11    11    11
McLean           12    12    13    15    15    15    16
Meade             9    11    11    12    12    12    14
Menifee           3     3     3     3     3     3     3
Mercer           11    11    11    11    11    11    11
Metcalfe          0     0     1     1     1     1     1
Monroe            4     4     5     5     5     5     6
Montgomery       10    11    11    11    12    12    12
Morgan            1     1     1     1     1     1     1
Muhlenberg      111   114   116   123   125   125   132
Nelson           19    20    21    22    23    23    24
Nicholas          1     1     1     1     1     1     1
Ohio             38    40    40    39    49    49    51
Oldham           27    28    29    29    32    32    33
Owen              0     1     1     1     1     1     1
Owsley            2     2     2     2     2     2     2
Pendleton         6     6     6     6     6     5     5
Perry             6     6     6    12    13    13    14
Pike              9    11    11    11    13    13    13
Powell            1     1     1     1     1     1     1
Pulaski          41    43    43    43    43    43    43
Robertson         0     0     0     0     0     0     0
Rockcastle       11    11    11    11    11    10    10
Rowan             2     2     2     2     2     2     2
Russell          16    16    16    16    16    16    16
Scott            24    24    24    24    24    24    24
Shelby           28    28    28    30    30    30    32
Simpson          24    24    27    27    28    28    29
Spencer          10    10    12    13    13    13    13
Taylor            6     8     8     8     8     8     8
Todd             11    12    12    12    12    12    12
Trigg             5     8     9     9     9     9     9
Trimble           3     3     3     3     3     3     3
Unassigned       58    50    50    53    53    56    62
Unassigned        0     0     0     0     0     0     0
Union             8     8     8     8     8     8     8
Warren          234   263   313   332   344   344   369
Washington        5     5     5     5     5     5     5
Wayne             6     7     9     9     9     7     7
Webster          19    21    21    22    22    22    23
Whitley          11    11    11    11    11    11    11
Wolfe             0     0     0     0     0     0     0
Woodford         19    17    18    18    18    18    18
totals         4156  4375  4537  4708  4882  4879  5130

Louisiana
date                   4/28  4/29  4/30  5/01  5/02  5/03  5/04
Acadia                  130   130   130   130   133   133   134
Allen                    87    90    90    90    90    90    90
Ascension               574   576   587   593   627   636   644
Assumption              175   177   178   182   189   194   197
Avoyelles                69    71    71    71    73    72    74
Beauregard               36    37    37    39    42    42    43
Bienville                73    73    74    77    77    76    76
Bossier                 274   277   285   286   287   292   295
Caddo                  1470  1497  1525  1540  1579  1601  1610
Calcasieu               369   377   386   389   437   449   455
Caldwell                 17    17    18    18    20    20    31
Cameron                   3     3     3     3     3     3     3
Catahoula                25    25    35    36    40    44    45
Claiborne                52    53    54    59    59    59    58
Concordia                31    32    36    38    39    39    39
De Soto                 187   189   191   190   194   198   198
East Baton Rouge       1771  1787  1830  1874  1989  2054  2086
East Carroll              6     8     8     9     9     9     9
East Feliciana          116   118   119   122   128   128   129
Evangeline               45    46    49    49    51    59    59
Franklin                119   121   123   125   130   131   131
Grant                    12    12    12    13    14    15    15
Iberia                  245   247   248   257   261   265   267
Iberville               442   443   448   450   459   472   476
Jackson                  30    30    34    34    40    40    42
Jefferson              6104  6135  6173  6197  6305  6362  6388
Jefferson Davis          61    61    62    62    63    64    64
LaSalle                   0     0     0     0     0     0     0
LaSalle                  21    21    22    23    26    26    26
Lafayette               443   446   451   455   463   464   466
Lafourche               632   635   651   651   661   666   669
Lincoln                  79    80    83    85    85    88    90
Livingston              183   185   190   197   229   235   238
Madison                   7     7     7     7     7     8     8
Morehouse                48    48    51    52    52    54    55
Natchitoches             77    77    79    84    86    87    87
Orleans                6365  6380  6420  6452  6495  6524  6538
Ouachita                645   651   671   706   730   755   770
Plaquemines             168   168   172   177   179   180   180
Pointe Coupee            94    98    98    99   104   101   103
Rapides                 249   255   259   265   270   273   281
Red River                22    23    24    25    29    32    32
Richland                 52    53    56    58    66    73    74
Sabine                   13    16    16    17    17    17    17
St. Bernard             449   452   461   464   469   474   475
St. Charles             549   554   563   570   573   577   582
St. Helena               27    28    28    28    28    30    30
St. James               239   240   243   246   247   247   250
St. John the Baptist    751   758   765   768   771   772   772
St. Landry              167   170   172   180   181   185   186
St. Martin              223   226   228   232   241   244   244
St. Mary                181   182   185   191   193   199   205
St. Tammany            1172  1184  1205  1220  1270  1321  1325
Tangipahoa              535   540   549   553   565   584   584
Tensas                    1     1     1     1     1     2     2
Terrebonne              375   382   389   437   450   456   459
Unassigned               64    61    61    61    63    63    63
Unassigned                0     0     0     0     0     0     0
Union                   103   108   114   117   125   131   135
Vermilion                35    35    35    35    37    38    38
Vernon                   16    16    16    16    16    16    16
Washington              253   256   261   262   273   282   285
Webster                  83    85    85    85    92    92    92
West Baton Rouge         94    94    96    98   108   110   110
West Carroll              4     4     4     4     4     4     4
West Feliciana          104   109   111   115   129   142   149
Winn                     22    26    32    32    38    41    42
totals                27068 27286 27660 28001 28711 29140 29340

Maine
date           4/28  4/29  4/30  5/01  5/02  5/03  5/04
Androscoggin     42    42    43    48    52    54    56
Aroostook         4     5     5     5     5     5     5
Cumberland      459   466   472   486   504   527   549
Franklin         27    27    27    27    28    28    29
Hancock           9    10    10    10    10    10    10
Kennebec        102   103   104   104   104   104   105
Knox             14    15    16    16    16    16    16
Lincoln          12    12    12    13    14    14    13
Oxford           15    15    15    15    15    15    15
Penobscot        55    57    59    78    79    82    84
Piscataquis       1     1     1     1     1     1     1
Sagadahoc        18    18    19    19    19    19    19
Somerset         17    18    18    17    17    17    17
Unassigned        0     0     0     0     0     0     0
Unassigned        2     1     2     1     0     0     0
Waldo            48    48    48    48    49    49    49
Washington        2     2     2     2     2     2     2
York            196   200   203   205   208   210   215
totals         1023  1040  1056  1095  1123  1153  1185

Maryland
date              4/28  4/29  4/30  5/01  5/02  5/03  5/04
Allegany           114   115   116   118   118   121   124
Anne Arundel      1544  1571  1662  1725  1807  1885  1959
Baltimore         2548  2631  2740  2831  3013  3183  3301
Baltimore City    1933  1977  2014  2068  2162  2237  2319
Calvert            138   139   142   150   161   160   162
Caroline            68    69    69    71    74    79    95
Carroll            403   416   421   436   460   480   494
Cecil              163   163   164   167   176   187   188
Charles            529   539   551   564   611   622   637
Dorchester          51    52    51    51    54    59    71
Frederick          865   870   893   918   942   976  1004
Garrett              4     4     4     4     4     4     4
Harford            352   358   371   414   437   468   479
Howard             778   802   831   867   896   931   969
Kent                70    73    73    79    86    80    91
Montgomery        3843  4003  4152  4300  4754  4919  5150
Prince George's   5263  5496  5738  6043  6735  7041  7333
Queen Anne's        54    55    55    52    52    57    60
Somerset            19    20    21    26    30    32    33
St. Mary's         144   145   145   150   159   164   165
Talbot              34    34    34    35    35    39    44
Unassigned           0     0     0     0     0     0     0
Unassigned           0     0     0     0     0     0     0
Washington         181   187   197   206   216   225   232
Wicomico           336   340   350   406   425   452   473
Worcester           53    54    55    61    65    72    75
totals           19487 20113 20849 21742 23472 24473 25462

Massachusetts
date                  4/28  4/29  4/30  5/01  5/02  5/03  5/04
Barnstable             798   820   842   860   902   937   946
Berkshire              428   430   440   442   444   448   451
Bristol               3068  3270  3429  3580  3792  3916  4019
Brockton                 0     0     0     0     0     0     0
Dukes                    0     0     0     0     0     0     0
Dukes and Nantucket     25    26    27    28    29    29    32
Essex                 7708  7972  8380  8673  9028  9362  9542
Franklin               231   237   252   257   260   263   269
Hampden               3381  3546  3698  3777  3900  4003  4066
Hampshire              443   509   531   546   546   549   559
Middlesex            12953 13417 13799 14208 14607 15048 15370
Nantucket                0     0     0     0     0     0     0
Norfolk               5398  5567  5700  5896  6065  6187  6280
Plymouth              4607  4744  4871  5083  5259  5409  5507
Suffolk              11883 12140 12539 12890 13295 13606 13777
Unassigned               0     0     0     0     0     0     0
Unassigned             795   625   457   415   397   377   981
Worcester             4744  4999  5300  5550  5787  6129  6288
totals               56462 58302 60265 62205 64311 66263 68087

Michigan
date             4/28  4/29  4/30  5/01  5/02  5/03  5/04
Alcona              4     4     4     4     4     5     4
Alger               0     0     0     0     0     0     0
Allegan            72    84    94    98   104   108   113
Alpena             60    67    76    82    82    82    83
Antrim              9     9    10    10    10    10    10
Arenac             15    18    18    24    26    29    28
Baraga              0     0     0     0     1     1     1
Barry              31    31    34    35    36    39    37
Bay               122   135   142   143   150   158   157
Benzie              4     4     6     6     4     5     4
Berrien           217   232   242   248   263   294   300
Branch             50    53    56    63    64    66    68
Calhoun           203   210   219   228   231   235   237
Cass               27    27    29    31    30    33    32
Charlevoix         13    13    13    13    13    13    13
Cheboygan          17    17    17    19    19    19    19
Chippewa            2     2     2     2     2     2     2
Clare              11    11    11    11    11    11    11
Clinton           112   114   117   118   118   118   118
Crawford           50    51    54    54    53    57    56
Delta              13    13    13    13    13    13    13
Dickinson           3     3     3     3     3     3     4
Eaton             116   119   124   131   133   136   136
Emmet              21    21    21    21    21    21    21
Genesee          1483  1533  1564  1581  1600  1620  1634
Gladwin            11    12    16    15    16    14    14
Gogebic             4     4     4     4     4     4     4
Grand Traverse     19    19    19    19    19    19    19
Gratiot            10    10    13    13    21    23    26
Hillsdale         114   118   121   125   127   132   131
Houghton            2     2     2     2     2     2     2
Huron              13    13    16    17    19    21    22
Ingham            413   426   446   470   483   497   506
Ionia              47    53    60    76    80    87    90
Iosco              41    48    47    52    51    52    52
Iron                0     0     0     0     0     0     0
Isabella           57    59    60    61    60    61    61
Jackson           341   342   351   364   381   364   361
Kalamazoo         300   327   348   364   405   442   456
Kalkaska           17    17    17    17    17    17    17
Kent             1100  1305  1395  1479  1600  1697  1786
Keweenaw            0     0     0     0     0     0     0
Lake                2     2     2     2     2     2     2
Lapeer            164   166   167   170   171   171   171
Leelanau            9     9    10     9     9     9     9
Lenawee            84    88    92    93    98   105   107
Livingston        319   326   335   337   343   352   361
Luce                1     1     1     1     1     1     1
Mackinac            5     5     6     6     6     6     6
Macomb           5245  5339  5430  5513  5623  5666  5756
Manistee           11    11    11    11    11    11    11
Marquette          42    43    45    46    50    51    50
Mason               5     7     8    11    10    12    12
Mecosta            14    15    14    14    14    14    14
Menominee           3     5     5     5     5     5     5
Midland            56    56    59    61    60    62    62
Missaukee          15    15    15    15    16    16    16
Monroe            275   277   284   287   296   303   311
Montcalm           32    37    38    40    40    45    44
Montmorency         5     5     5     5     5     5     5
Muskegon          234   242   262   276   288   301   305
Newaygo            14    16    22    22    24    26    26
Oakland          6913  7012  7159  7267  7423  7475  7518
Oceana              7     8     9     9    11    14    16
Ogemaw             10    11    12    13    14    15    14
Ontonagon           0     0     0     0     0     0     0
Osceola             8     8     8     8     8     8     8
Oscoda              4     4     4     5     5     5     5
Otsego             87    88    90    92    92    93    93
Ottawa            191   210   224   236   254   261   321
Out of MI          20    28    39    32     8    16    18
Out of MI           0     0     0     0     0     0     0
Presque Isle       11    11    12    11    11    11    11
Roscommon          13    14    15    16    16    17    17
Saginaw           586   609   632   663   684   700   720
Sanilac            34    34    34    35    36    36    37
Schoolcraft         3     3     3     3     3     3     3
Shiawassee        166   173   173   180   183   184   184
St. Clair         304   309   313   328   331   336   335
St. Joseph         29    30    30    32    33    38    36
Tuscola            90    94    98   105   106   113   113
Unassigned          0     0     0     0     0     0     0
Unassigned          5    11     0     1    16    16    10
Van Buren          36    43    46    49    54    59    61
Washtenaw        1004  1033  1049  1075  1091  1101  1113
Wayne           15872 16173 16494 16729 16970 17106 17298
Wexford             9     9    10     9     9     9     9
totals          37081 38106 39049 39838 40706 41289 41862

Minnesota
date                4/28  4/29  4/30  5/01  5/02  5/03  5/04
Aitkin                 1     1     1     1     1     1     1
Anoka                168   186   196   212   231   260   281
Becker                 2     2     2     2     5    10    10
Beltrami               6     6     6     6     6     6     6
Benton                 4     6    10    15    21    29    32
Big Stone              2     2     2     2     2     2     2
Blue Earth            30    33    34    38    38    41    46
Brown                  8     8     8     8     8     8     8
Carlton               52    53    55    59    59    59    60
Carver                17    19    20    21    21    25    26
Cass                   5     5     5     5     5     7     7
Chippewa               2     2     2     2     2     2     3
Chisago                7     9    10    11    12    13    13
Clay                 131   149   152   157   165   189   176
Clearwater             2     2     2     2     2     2     2
Cook                   0     0     0     0     0     0     0
Cottonwood             9    11    20    20    23    27    28
Crow Wing             20    20    20    20    21    21    21
Dakota               144   156   157   162   171   189   202
Dodge                 19    19    19    21    22    22    22
Douglas                2     2     2     2     2     3     3
Faribault              4     4     5     5     5     6     6
Fillmore              12    12    12    12    12    13    13
Fillmore               0     0     0     0     0     0     0
Freeborn              33    34    34    34    35    35    35
Goodhue               19    19    19    19    19    21    21
Grant                  0     0     0     0     0     1     1
Hennepin            1416  1524  1633  1738  1829  1980  2151
Houston                1     1     1     1     1     1     1
Hubbard                0     0     0     0     0     0     0
Isanti                 6     6     6     6     6     6     6
Itasca                 2     2     3     5     6     7    11
Jackson                8     9    12    14    16    18    18
Kanabec                0     0     0     0     1     1     1
Kandiyohi             39    64    88    91   135   145   167
Kittson                1     1     1     1     1     1     1
Koochiching            1     1     1     1     1     1     1
Lac qui Parle          0     0     0     0     0     0     0
Lac qui Parle          1     1     1     1     1     1     1
Lake                   0     0     0     0     0     0     0
Lake of the Woods      0     0     0     0     0     0     0
Le Sueur              23    24    24    24    25    25    26
LeSeur                 0     0     0     0     0     0     0
Lincoln                2     2     3     3     3     3     3
Lyon                   6     6     6     7     7     8     9
Mahnomen               1     1     1     2     2     2     2
Marshall               1     1     1     1     2     3     5
Martin                43    52    70    88   111   110   109
McLeod                 4     4     4     4     4     4     4
Meeker                 6     9     9    11    14    14    15
Mille Lacs             1     2     2     2     2     2     2
Morrison               1     1     2     5     6     6     6
Mower                 28    28    28    28    28    28    28
Murray                10    10    11    13    16    16    17
Nicollet               9     9     9    11    13    15    15
Nobles               399   477   615   742   866   899   940
Norman                 7     7     8     8     8     8     8
Olmsted              246   251   256   265   269   282   293
Otter Tail             8     8     8     9    14    17    17
Pennington             1     1     1     1     1     1     1
Pine                  56    56    56    56    58    58    58
Pipestone              2     2     2     2     2     3     3
Polk                  24    26    27    27    32    36    41
Pope                   0     0     0     0     0     0     0
Ramsey               297   317   332   374   405   453   493
Red Lake               1     1     1     1     1     1     1
Redwood                1     1     1     2     3     3     3
Renville               3     3     4     4     4     5     5
Rice                  10    11    12    14    14    18    20
Rock                   6     8     9    11    12    16    16
Roseau                 1     1     1     1     1     1     1
Scott                 35    36    41    44    46    52    58
Sherburne             16    19    26    28    39    50    54
Sibley                 1     2     2     2     2     2     2
St. Louis             67    69    71    71    73    74    75
Stearns               55    86   166   267   435   531   589
Steele                14    14    15    16    18    20    21
Stevens                0     0     0     0     0     0     0
Swift                  1     2     2     2     2     2     2
Todd                   3     4     7     7     7     8     8
Traverse               2     2     2     2     2     2     2
Unassigned             0     6     7     9    13     0    20
Unassigned             0     0     0     0     0     0     0
Wabasha                8     8     8     8     9    10    10
Wadena                 0     1     1     1     1     1     1
Waseca                 3     4     4     4     4     5     6
Washington           114   117   120   131   133   142   146
Watonwan               7     7     9    11    14    14    14
Wilkin                11    12    12    12    12    11    11
Winona                66    66    66    66    66    67    67
Wright                34    35    40    42    43    48    50
Yellow Medicine        3     3     3     3     3     3     3
totals              3811  4181  4644  5136  5730  6232  6663

Mississippi
date              4/28  4/29  4/30  5/01  5/02  5/03  5/04
Adams              116   123   129   133   148   149   148
Alcorn               8    10    10    10    10    10    10
Amite               26    26    26    29    29    28    28
Attala              86    89    94    99   109   117   117
Benton               9     9     9    11    12    12    12
Bolivar            101   101   101   102   102   105   107
Calhoun             50    50    51    50    52    54    55
Carroll             20    22    25    38    58    60    62
Chickasaw           64    67    68    68    75    76    76
Choctaw             13    13    13    13    13    13    13
Claiborne           19    19    20    22    23    27    28
Clarke              47    49    53    54    55    58    61
Clay                31    33    34    40    42    47    48
Coahoma             58    60    61    61    64    66    69
Copiah              79    83    88    96   108   114   116
Covington           51    54    55    62    67    67    66
DeSoto             266   272   277   282   293   294   298
Forrest            190   196   198   207   219   226   232
Franklin            17    16    16    16    16    16    17
George              11    12    13    13    14    14    14
Greene               4     5     5     5     5     5     5
Grenada             27    28    28    28    32    34    34
Hancock             60    61    61    62    62    67    68
Harrison           159   166   171   174   177   181   181
Hinds              421   435   450   470   496   505   507
Holmes             114   121   129   133   153   159   161
Humphreys           18    18    22    23    24    25    24
Issaquena            0     0     0     0     0     0     0
Itawamba            49    51    51    57    59    62    63
Jackson            240   252   255   259   267   267   267
Jasper              32    33    34    42    48    54    55
Jefferson           12    16    23    18    20    21    22
Jefferson Davis     27    29    31    32    35    38    40
Jones              130   132   136   143   159   168   172
Kemper              49    50    56    57    64    67    76
Lafayette           88    88    88    89    89    89    91
Lamar               92    94   102   103   111   114   117
Lauderdale         304   318   334   349   365   378   380
Lawrence            36    38    42    45    46    50    50
Leake              161   179   190   204   219   229   233
Lee                 70    71    70    69    71    71    71
Leflore            137   141   145   148   164   165   168
Lincoln            136   136   141   141   143   150   151
Lowndes             45    49    49    54    58    58    60
Madison            208   212   224   229   251   268   272
Marion              58    66    69    72    75    75    75
Marshall            41    42    42    43    44    45    47
Monroe             144   153   157   157   161   173   175
Montgomery          19    19    20    28    29    32    32
Neshoba            156   169   174   187   205   212   214
