Alabama
date         4/28  4/29  4/30  5/01  5/02  5/03  5/04
Navajo         18    18    18    21    21    21    21
Pima           76    76    80    80    81    81    81
Pinal           9     9    11    11    13    13    13
Santa Cruz      0     0     0     0     0     0     0
Unassigned      0     0     0     0     0     0     0
Unassigned      0     0     2     2     2     2    34
Yavapai         1     1     1     1     1     1     1
Yuma            1     1     1     1     1     1     1
totals        275   275   308   320   330   330   362

Arkansas
date           4/28  4/29  4/30  5/01  5/02  5/03  5/04
Arkansas          0     0     0     0     0     0     0
Ashley            0     0     0     0     0     0     0
Baxter            0     0     0     0     0     0     0
Benton            0     0     0     0     0     0     0
Boone             0     0     0     0     0     0     0
Bradley           1     1     1     1     1     1     1
Calhoun           0     0     0     0     0     0     0
Carroll           0     0     0     0     0     0     0
Chicot            0     0     0     0     0     0     0
Clark             0     0     0     0     0     0     0
Clay              0     0     0     0     0     0     0
Cleburne          4     4     4     4     4     4     4
Cleveland         0     0     0     0     0     0     0
Columbia          0     0     0     0     0     2     2
Conway            1     1     1     1     1     1     1
Craighead         0     0     0     0     0     0     0
Crawford          0     0     0     0     0     0     0
Crittenden        5     5     5     5     5     5     5
Cross             0     0     0     0     0     0     0
Dallas            0     0     0     0     0     0     0
Desha             0     0     0     0     0     0     0
Drew              1     1     1     1     1     1     1
Faulkner          2     2     2     2     2     2     2
Franklin          0     0     0     0     0     0     0
Fulton            0     0     0     0     0     0     0
Garland           0     0     0     0     0     0     0
Grant             0     0     0     0     0     0     0
Greene            0     0     0     0     0     0     0
Hempstead         1     1     1     1     1     1     1
Hot Spring        0     0     0     0     0     0     0
Howard            0     0     0     0     0     0     0
Independence      0     0     0     0     0     0     0
Izard             0     0     0     0     0     0     0
Jackson           0     0     0     0     0     0     0
Jefferson         9    13    13    14    15    16    17
Johnson           0     0     0     0     0     0     0
Lafayette         1     1     1     1     1     1     1
Lawrence          1     1     1     2     2     4     4
Lee               1     1     1     1     1     1     1
Lincoln           0     0     0     0     0     2     4
Little River      0     0     0     0     0     0     0
Logan             0     0     0     0     0     0     1
Lonoke            0     0     0     0     0     0     0
Madison           0     0     0     0     0     0     0
Marion            0     0     0     0     0     0     0
Miller            1     1     1     1     1     1     1
Mississippi       0     0     0     0     0     0     0
Monroe            0     0     0     0     0     0     0
Montgomery        0     0     0     0     0     0     0
Nevada            0     0     0     0     0     0     0
Newton            0     0     0     0     0     0     0
Ouachita          0     0     0     0     0     0     0
Perry             0     0     0     0     0     0     0
Phillips          1     1     1     1     1     1     1
Pike              0     0     0     0     0     0     0
Poinsett          0     1     1     1     2     2     2
Polk              0     0     0     0     0     0     0
Pope              0     0     0     0     0     0     0
Prairie           0     0     0     0     0     0     0
Pulaski          15    16    16    17    18    19    19
Randolph          0     0     0     0     0     0     0
Saline            1     1     1     1     1     1     1
Scott             0     0     0     0     0     0     0
Searcy            0     0     0     0     0     0     0
Sebastian         0     0     0     0     0     0     0
Sevier            0     0     0     1     1     1     1
Sharp             0     0     0     0     0     0     0
St. Francis       0     0     0     0     0     0     0
Stone             0     0     0     0     0     0     0
Unassigned        0     0     0     0     0     0     0
Unassigned        0     0     0     0     0     0     0
Union             0     0     0     0     0     0     0
Van Buren         2     2     2     2     2     2     2
Washington        3     3     3     3     3     3     3
White             1     1     1     1     1     1     1
Woodruff          0     0     0     0     0     0     0
Yell              0     0     0     0     0     0     0
totals           51    57    57    61    64    72    76

California
date              4/28  4/29  4/30  5/01  5/02  5/03  5/04
Alameda             52    55    57    60    62    63    63
Alpine               0     0     0     0     0     0     0
Amador               0     0     0     0     0     0     0
Butte                0     0     0     0     0     0     0
Calaveras            0     0     0     0     0     0     0
Colusa               0     0     0     0     0     0     0
Contra Costa        25    25    25    27    28    28    28
Del Norte            0     0     0     0     0     0     0
El Dorado            0     0     0     0     0     0     0
Fresno               7     7     7     7     8     8     8
Glenn                0     0     0     0     0     0     0
Humboldt             0     0     0     0     0     0     0
Imperial             8     8     8     8     9     9     9
Inyo                 1     1     1     1     1     1     1
Kern                 5     5     6     7     8     8     8
Kings                1     1     1     1     1     1     1
Lake                 0     0     0     0     0     0     0
Lassen               0     0     0     0     0     0     0
Los Angeles        944  1002  1056  1111  1174  1209  1231
Madera               2     2     2     2     2     2     2
Marin               12    12    12    13    13    13    13
Mariposa             0     0     0     0     0     0     0
Mendocino            0     0     0     0     0     0     0
Merced               3     3     3     3     3     3     3
Modoc                0     0     0     0     0     0     0
Mono                 1     1     1     1     1     1     1
Monterey             4     4     5     5     5     5     6
Napa                 2     2     2     2     2     2     2
Nevada               1     1     1     1     1     1     1
Orange              39    42    44    45    50    52    52
Placer               8     8     8     8     8     8     8
Plumas               0     0     0     0     0     0     0
Riverside          141   141   143   149   156   156   161
Sacramento          41    41    42    43    42    42    42
San Benito           2     2     2     2     2     2     2
San Bernardino      82    85    89    93    94    97    97
San Diego          111   113   120   120   124   134   139
San Francisco       23    23    23    25    28    29    29
San Joaquin         25    25    25    25    25    25    25
San Luis Obispo      1     1     1     1     1     1     1
San Mateo           41    48    48    48    51    51    51
Santa Barbara        7     7     8     8     8     8     8
Santa Clara        103   106   107   111   113   114   115
Santa Cruz           2     2     2     2     2     2     2
Shasta               4     4     4     4     4     4     4
Sierra               0     0     0     0     0     0     0
Siskiyou             0     0     0     0     0     0     0
Solano               4     4     5     5     5     5     5
Sonoma               2     2     2     2     2     2     2
Stanislaus           5     7    11    11    13    13    14
Sutter               3     2     2     2     2     2     2
Tehama               1     1     1     1     1     1     1
Trinity              0     0     0     0     0     0     0
Tulare              32    35    36    40    40    40    40
Tuolumne             0     0     0     0     0     0     0
Unassigned           0     0     0     0     0     0     0
Unassigned           2     2     2     2     2     2     2
Ventura             17    17    17    18    18    19    19
Yolo                14    16    16    16    16    16    17
Yuba                 1     1     1     1     1     1     1
totals            1779  1864  1946  2031  2126  2180  2216

Colorado
date          4/28  4/29  4/30  5/01  5/02  5/03  5/04
Adams           60    61    62    63    68    68    68
Alamosa          2     2     2     2     2     2     2
Arapahoe       130   136   140   141   152   153   156
Archuleta        0     0     0     0     0     0     0
Baca             0     0     0     0     0     0     0
Bent             0     0     0     0     0     0     0
Boulder         33    33    39    40    40    42    44
Broomfield       5     9     9     9    11    12    12
Chaffee         12    13    15    15    15    15    15
Cheyenne         0     0     0     0     0     0     0
Clear Creek      1     1     1     1     1     1     1
Conejos          0     0     0     0     0     0     0
Costilla         0     0     0     0     0     0     0
Crowley          1     1     1     1     1     1     1
Custer           0     0     0     0     0     0     0
Delta            1     1     1     1     1     1     1
Denver         135   145   150   154   163   164   166
Dolores          0     0     0     0     0     0     0
Douglas         19    21    22    22    23    23    23
Eagle            7     7     7     7     7     7     7
El Paso         68    69    69    70    71    74    75
Elbert           1     1     1     1     1     1     1
Fremont          0     0     0     0     0     0     0
Garfield         2     2     2     2     2     2     2
Gilpin           0     0     0     0     0     0     0
Grand            0     0     0     0     0     0     0
Gunnison         4     4     4     5     5     5     5
Hinsdale         0     0     0     0     0     0     0
Huerfano         0     0     0     0     0     0     0
Jackson          0     0     0     0     0     0     0
Jefferson       65    68    73    73    80    81    83
Kiowa            0     0     0     0     0     0     0
Kit Carson       2     2     2     2     2     2     2
La Plata         0     0     0     0     0     0     0
Lake             0     0     0     0     0     0     0
Larimer         19    19    19    19    19    18    18
Las Animas       0     0     0     0     0     0     0
Lincoln          0     0     0     0     0     0     0
Logan            1     1     1     1     1     1     1
Mesa             0     0     0     0     0     0     0
Mineral          0     0     0     0     0     0     0
Moffat           0     0     0     0     0     0     0
Montezuma        2     2     2     2     2     2     2
Montrose        10    11    11    11    11    11    11
Morgan          15    16    16    16    17    20    20
Otero            1     1     1     1     1     1     1
Ouray            1     1     1     1     1     1     1
Out of CO        2     2     2     2     2     2     2
Park             0     0     0     0     0     0     0
Phillips         0     0     0     0     0     0     0
Pitkin           2     2     2     2     2     2     2
Prowers          0     0     0     0     0     0     0
Pueblo           9     9    10    10    10    10    10
Rio Blanco       0     0     0     0     0     0     0
Rio Grande       0     0     0     0     0     0     0
Routt            4     4     4     4     5     5     5
Saguache         0     0     0     0     0     0     0
San Juan         0     0     0     0     0     0     0
San Miguel       0     0     0     0     0     0     0
Sedgwick         0     0     0     0     0     0     0
Summit           1     1     1     1     1     1     1
Teller           2     2     2     2     2     2     2
Unassigned       2     1     1     1     2     2     2
Unassigned       0     0     0     0     0     0     0
Washington       0     0     0     0     0     0     0
Weld            87    88    93    95   100   100   100
Yuma             0     0     0     0     0     0     0
totals         706   736   766   777   821   832   842

Connecticut
date         4/28  4/29  4/30  5/01  5/02  5/03  5/04
Fairfield     727   747   774   810   839   865   865
Hartford      612   643   670   698   715   741   741
Litchfield     75    76    79    80    86    89    89
Middlesex      69    70    76    79    82    91    91
New Haven     456   478   493   512   533   565   565
New London     34    34    35    36    42    43    43
Tolland        35    35    36    36    38    39    39
Unassigned      0     0     0     0     0     0     0
Unassigned      1     1     3     4     2     1     1
Windham         3     3     3     2     2     2     2
totals       2012  2087  2169  2257  2339  2436  2436

DC
date                   4/28  4/29  4/30  5/01  5/02  5/03  5/04
District of Columbia    185   190   205   224   231   240   251
totals                  185   190   205   224   231   240   251

Delaware
date         4/28  4/29  4/30  5/01  5/02  5/03  5/04
Kent           23    23    25    26    27    29    30
New Castle     57    63    65    68    70    76    79
Sussex         45    51    54    58    62    63    68
Unassigned      0     0     0     0     0     0     0
Unassigned      0     0     0     0     0     0     0
totals        125   137   144   152   159   168   177

Florida
date           4/28  4/29  4/30  5/01  5/02  5/03  5/04
Alachua           2     2     2     5     5     5     5
Baker             3     3     3     3     3     3     3
Bay               2     2     3     3     3     3     3
Bradford          2     2     2     2     2     2     2
Brevard           8     8     8     8     8     8     8
Broward         174   179   182   185   199   204   207
Calhoun           0     0     0     0     0     0     0
Charlotte        14    15    18    19    22    25    25
Citrus           11    11    11    11    11    11    11
Clay             14    14    15    15    16    18    18
Collier          15    16    17    19    21    21    21
Columbia          0     2     2     2     2     2     2
DeSoto            0     0     0     0     0     0     0
DeSoto            4     4     4     4     4     4     4
Desoto            0     0     0     0     0     0     0
Dixie             0     0     0     0     0     0     0
Duval            19    20    20    20    22    23    24
Escambia         11    11    11    11    12    13    13
Flagler           2     2     2     2     2     3     3
Franklin          0     0     0     0     0     0     0
Gadsden           0     0     0     0     0     0     0
Gilchrist         0     0     0     0     0     0     0
Glades            1     1     1     1     1     1     1
Gulf              0     0     0     0     0     0     0
Hamilton          0     0     0     0     0     0     0
Hardee            0     0     0     0     0     0     0
Hendry            2     2     3     3     3     4     4
Hernando          4     4     4     5     5     5     5
Highlands         7     7     7     7     7     7     7
Hillsborough     21    22    23    23    24    24    27
Holmes            0     0     0     0     0     0     0
Indian River      5     6     7     7     8     8     8
Jackson           0     0     0     0     0     0     0
Jefferson         2     2     2     2     2     2     2
Lafayette         0     0     0     0     0     0     0
Lake             10    10    11    12    13    13    13
Lee              37    40    41    43    42    42    45
Leon              3     3     3     3     3     3     4
Levy              0     0     0     0     0     0     0
Liberty           0     0     0     0     0     0     0
Madison           2     2     2     2     2     2     2
Manatee          42    46    49    55    57    59    59
Marion            4     4     4     4     4     5     5
Martin            5     5     5     6     6     6     6
Miami-Dade      302   324   338   352   358   367   369
Monroe            3     3     3     3     3     3     3
Nassau            0     0     0     0     0     1     1
Okaloosa          3     3     3     4     4     5     5
Okeechobee        0     0     0     0     0     0     0
Orange           30    32    33    34    34    35    35
Osceola           7     7     7     7     7     8     8
Palm Beach      156   173   178   186   191   195   196
Pasco             5     6     6     7     8     8     8
Pinellas         25    31    34    37    38    41    41
Polk             18    20    22    23    24    26    26
Putnam            1     1     1     1     1     2     2
Santa Rosa        6     7     7     7     8     8     8
Sarasota         32    39    42    42    44    47    47
Seminole          8     8     8     8     8     8     8
St. Johns         4     4     4     4     4     4     4
St. Lucie        20    22    22    22    23    24    24
Sumter           12    13    13    13    14    14    14
Suwannee         11    14    14    14    14    16    16
Taylor            0     0     0     0     0     0     0
Unassigned        0     0     0     0     0     0     0
Unassigned        0     0     0     0     0     0     0
Union             0     0     0     0     0     0     0
Volusia          18    18    20    21    21    25    26
Wakulla           1     1     1     1     1     1     1
Walton            0     0     0     0     0     0     0
Washington        0     0     0     0     0     0     0
totals         1088  1171  1218  1268  1314  1364  1379

Georgia
date            4/28  4/29  4/30  5/01  5/02  5/03  5/04
Appling            5     5     6     6     6     6     5
Atkinson           0     0     0     1     1     1     1
Bacon              1     1     1     1     1     1     1
Baker              2     2     2     2     2     2     2
Baldwin            6     6     8     8     8     8     8
Banks              0     0     0     0     0     0     0
Barrow             4     4     4     4     4     4     4
Bartow            29    30    30    30    31    31    31
Ben Hill           0     0     0     0     0     0     0
Berrien            0     0     0     0     0     0     0
Bibb               7     8    10    10    10    11    11
Bleckley           0     0     0     0     0     0     0
Brantley           2     2     2     2     2     2     2
Brooks             6     6     6     6     6     6     6
Bryan              2     2     2     2     3     3     3
Bulloch            2     2     2     2     2     2     2
Burke              3     3     3     3     3     3     3
Butts              3     3     4    11    16    16    16
Calhoun            3     4     4     4     4     4     4
Camden             1     1     1     1     1     1     1
Candler            0     0     0     0     0     0     0
Carroll           13    13    14    14    14    14    14
Catoosa            0     0     0     0     0     0     0
Charlton           0     0     0     0     0     0     0
Chatham            7     7     9     9     9     9     9
Chattahoochee      0     0     0     0     0     0     0
Chattooga          1     1     2     2     2     2     2
Cherokee          10    11    11    11    13    13    13
Clarke            13    13    13    13    13    13    13
Clay               2     2     2     3     3     3     3
Clayton           24    24    26    27    33    33    33
Clinch             0     0     0     0     0     0     0
Cobb              81    81    88    94    96    96    97
Coffee             4     4     6     7     7     7     7
Colquitt           6     6     6     6     9    10    10
Columbia           2     3     4     4     4     4     4
Cook               1     1     1     1     1     1     1
Coweta             4     4     4     4     4     4     4
Crawford           0     0     0     0     0     0     0
Crisp              3     3     3     3     3     3     3
Dade               1     1     1     1     1     1     1
Dawson             1     1     1     1     1     1     1
DeKalb            42    43    46    47    49    52    53
Decatur            1     1     1     1     1     1     1
Dodge              1     1     1     1     1     1     1
Dooly              8     8     9     9     9     9     9
Dougherty        114   118   120   120   123   124   124
Douglas           11    11    11    11    11    11    11
Early             15    15    21    20    20    20    20
Echols             0     0     0     0     0     0     0
Effingham          1     1     1     1     1     1     1
Elbert             0     0     0     0     0     0     0
Emanuel            0     0     0     0     0     0     0
Evans              0     0     0     0     0     0     0
Fannin             0     1     1     1     1     1     1
Fayette            8     9    10    10    10    10    10
Floyd             11    11    11    11    11    11    11
Forsyth            8     9     9     9    10    10    10
Franklin           0     0     0     1     1     1     1
Fulton           103   108   115   117   122   122   124
Gilmer             0     0     0     0     0     0     0
Glascock           0     0     0     0     0     0     0
Glynn              1     1     1     1     1     1     1
Gordon            12    12    12    12    12    12    12
Grady              3     3     3     4     4     4     4
Greene             1     2     2     2     2     2     3
Gwinnett          52    54    55    57    58    58    58
Habersham          4     7     7     8     8     8     8
Hall              12    16    20    21    22    22    23
Hancock            0     1     1     2     2     2     2
Haralson           1     1     1     1     1     1     1
Harris             2     2     2     2     2     2     2
Hart               0     0     0     0     0     0     0
Heard              1     1     1     1     1     1     1
Henry             11    11    12    12    13    13    13
Houston           13    13    13    14    14    14    14
Irwin              1     1     1     1     1     1     1
Jackson            1     1     1     2     2     2     2
Jasper             0     0     0     0     0     0     0
Jeff Davis         1     1     1     1     1     1     1
Jefferson          1     1     1     1     1     1     1
Jenkins            1     1     1     1     1     1     1
Johnson            2     2     2     2     2     2     2
Jones              0     0     0     0     0     0     0
Lamar              0     2     2     1     1     1     1
Lanier             1     1     1     1     1     1     1
Laurens            1     1     1     1     1     1     1
Lee               19    19    20    20    20    20    20
Liberty            0     0     0     0     0     0     0
Lincoln            0     0     0     0     0     0     0
Long               0     0     0     0     0     0     0
Lowndes            4     4     4     4     4     4     4
Lumpkin            1     1     2     2     2     2     2
Macon              3     3     3     3     3     3     3
Madison            1     1     1     1     1     1     1
Marion             1     1     1     1     1     1     1
McDuffie           4     4     4     4     4     4     4
McDuffie           0     0     0     0     0     0     0
McIntosh           0     0     0     0     0     0     0
McIntosh           0     0     0     0     0     0     0
Meriwether         0     1     1     1     1     1     1
Miller             0     0     0     0     0     0     0
Mitchell          28    29    30    30    31    31    31
Monroe             1     1     3     3     3     3     3
Montgomery         0     0     0     0     0     0     0
Morgan             0     0     0     0     0     0     0
Murray             0     0     0     0     1     1     1
Muscogee           4     6     7     7     7     7     7
Newton             7     7     7     7     7     7     7
Oconee             0     0     0     0     0     0     0
Oglethorpe         3     3     3     3     3     3     3
Out of GA         13    13    14    14    14    14    14
Paulding           7     7     8     8     8     8     8
Peach              2     2     2     2     2     2     2
Pickens            2     2     2     2     2     2     2
Pierce             2     3     3     3     3     3     3
Pike               2     2     2     2     2     2     2
Polk               0     0     0     0     0     0     0
Pulaski            1     1     1     1     1     1     1
Putnam             5     5     5     5     5     5     5
Quitman            1     1     1     1     1     1     1
Rabun              0     1     1     1     1     1     1
Randolph          19    19    19    19    19    19    19
Richmond          14    14    14    15    15    16    16
Rockdale           6     6     6     6     6     6     6
Schley             1     1     1     1     1     1     1
Screven            1     1     1     1     1     1     1
Seminole           2     2     2     2     2     2     2
Spalding           8     8     9     9    10    10    10
Stephens           1     1     1     1     1     1     1
Stewart            0     0     0     0     0     0     0
Sumter            24    26    28    28    28    28    28
Talbot             1     1     1     1     1     1     1
Taliaferro         0     0     0     0     0     0     0
Tattnall           0     0     0     0     0     0     0
Taylor             2     2     2     2     2     2     2
Telfair            0     0     0     0     0     0     0
Terrell           18    18    18    19    19    19    19
Thomas            16    17    19    19    19    19    19
Tift               5     5     5     5     5     5     5
Toombs             3     3     3     3     3     3     3
Towns              0     1     1     1     1     1     1
Treutlen           0     0     0     0     0     0     0
Troup              4     4     4     4     4     4     4
Turner             8     8     8     8     8     8     9
Twiggs             0     0     0     0     0     0     0
Unassigned         2     2     2     0     0     0     0
Unassigned         0     0     0     0     0     0     0
Union              2     1     1     1     1     1     1
Upson             17    17    17    18    18    18    20
Walker             0     0     0     0     0     0     0
Walton             3     3     3     4     4     4     4
Ware               8     9    10    11    11    11    11
Warren             0     0     0     0     0     0     0
Washington         1     1     1     1     1     2     1
Wayne              0     0     0     0     0     0     0
Webster            2     2     2     2     2     2     2
Wheeler            0     0     0     0     0     0     0
White              0     0     0     0     0     0     0
Whitfield          4     4     4     4     4     4     4
Wilcox             7     8     9     9     9     9     9
Wilkes             0     0     0     0     0     0     0
Wilkinson          2     2     2     2     2     2     2
Worth              9     8    10    11    11    11    11
totals           995  1036  1101  1132  1169  1177  1184

Hawaii
date         4/28  4/29  4/30  5/01  5/02  5/03  5/04
Hawaii          0     0     0     0     0     0     0
Honolulu       11    11    11    11    11    11    11
Kalawao         0     0     0     0     0     0     0
Kauai           0     0     0     0     0     0     0
Maui            5     5     5     5     5     5     6
Out of HI       0     0     0     0     0     0     0
Unassigned      0     0     0     0     0     0     0
Unassigned      0     0     0     0     0     0     0
totals         16    16    16    16    16    16    17

Idaho
date         4/28  4/29  4/30  5/01  5/02  5/03  5/04
Ada            15    16    16    16    16    17    17
Adams           0     0     0     0     0     0     0
Bannock         0     0     0     0     0     0     0
Bear Lake       0     0     0     0     0     0     0
Benewah         0     0     0     0     0     0     0
Bingham         0     0     0     0     0     0     0
Blaine          5     5     5     5     5     5     5
Boise           0     0     0     0     0     0     0
Bonner          0     0     0     0     0     0     0
Bonneville      0     0     0     0     0     0     0
Boundary        0     0     0     0     0     0     0
Butte           0     0     0     0     0     0     0
Camas           0     0     0     0     0     0     0
Canyon          6     6     6     6     7     7     7
Caribou         0     0     0     0     0     0     0
Cassia          1     1     1     1     1     1     1
Clark           0     0     0     0     0     0     0
Clearwater      0     0     0     0     0     0     0
Custer          0     0     0     0     0     0     0
Elmore          2     2     2     2     2     2     2
Franklin        0     0     0     0     0     0     0
Fremont         0     0     0     0     0     0     0
Gem             0     0     0     0     0     0     0
Gooding         0     0     0     0     0     0     0
Idaho           0     0     0     0     0     0     0
Jefferson       0     0     0     0     0     0     0
Jerome          2     2     2     2     2     2     2
Kootenai        0     0     0     0     0     0     0
Latah           0     0     0     0     0     0     0
Lemhi           0     0     0     0     0     0     0
Lewis           0     0     0     0     0     0     0
Lincoln         0     0     0     0     0     0     0
Madison         0     0     0     0     0     0     0
Minidoka        0     0     0     0     0     0     0
Nez Perce      13    16    16    16    18    18    18
Oneida          0     0     0     0     0     0     0
Owyhee          0     0     0     0     0     0     0
Payette         1     1     1     1     1     1     1
Power           0     0     0     0     0     0     0
Shoshone        0     0     0     0     0     0     0
Teton           0     0     0     0     0     0     0
Twin Falls     11    11    11    11    11    11    11
Unassigned      0     0     0     0     0     0     0
Valley          0     0     0     0     0     0     0
Washington      0     0     0     0     0     0     0
totals         56    60    60    60    63    64    64

Illinois
date          4/28  4/29  4/30  5/01  5/02  5/03  5/04
Adams            0     0     0     0     1     1     1
Alexander        0     0     0     0     0     0     0
Bond             1     1     1     1     1     1     1
Boone            9     9     9     9     9    11    11
Brown            0     0     0     0     0     0     0
Bureau           0     0     0     0     0     0     0
Calhoun          0     0     0     0     0     0     0
Carroll          2     2     2     2     2     2     2
Cass             0     0     0     0     0     0     0
Champaign        6     6     6     6     6     6     6
Christian        4     4     4     4     4     4     4
Clark            0     0     0     0     0     0     0
Clay             0     0     0     0     0     0     0
Clinton          1     1     1     3     4     5     5
Coles            1     1     1     1     1     1     1
Cook          1347  1457  1516  1607  1673  1743  1786
Crawford         0     0     0     0     0     0     0
Cumberland       0     0     0     0     0     0     0
De Witt          0     0     0     0     0     0     0
DeKalb           1     1     1     1     1     1     1
Douglas          0     0     0     0     0     0     0
DuPage         133   139   142   163   174   188   192
Edgar            0     0     0     0     0     0     0
Edwards          0     0     0     0     0     0     0
Effingham        1     1     1     1     1     1     1
Fayette          2     2     2     2     2     2     2
Ford             1     1     1     1     1     1     1
Franklin         0     0     0     0     0     0     0
Fulton           0     0     0     0     0     0     0
Gallatin         0     0     0     0     0     0     0
Greene           0     0     0     0     0     0     0
Grundy           0     0     0     0     0     0     0
Hamilton         0     0     0     0     0     0     0
Hancock          0     0     0     0     0     0     0
Hardin           0     0     0     0     0     0     0
Henderson        0     0     0     0     0     0     0
Henry            0     0     0     0     0     0     0
Iroquois         0     0     0     0     0     0     0
Jackson          7     7     7     7     9     9     9
Jasper           3     3     4     5     5     5     5
Jefferson        8     9    11    12    12    14    15
Jersey           1     1     1     1     1     1     1
Jo Daviess       0     0     0     0     0     0     0
Johnson          0     0     0     0     0     0     0
Kane            39    41    45    48    52    54    57
Kankakee        23    24    25    25    25    26    26
Kendall          5     5     7     7     7     6     6
Knox             0     0     0     0     0     0     0
LaSalle          0     0     0     0     0     0     0
LaSalle          1     1     1     1     1     1     1
Lake           118   123   128   138   140   141   145
Lawrence         0     0     0     0     0     0     0
Lee              0     0     0     0     0     0     0
Livingston       1     1     1     1     1     1     1
Logan            0     0     0     0     0     0     0
Macon           11    11    11    12    12    12    12
